variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
baseline_v3,16384,128,5,1,29,2387028,42,1284671.2712755087
baseline_v3,16384,128,5,1,30,2198908,42,1284671.2712755087
optimized_v4,16384,2048,5,2,25,36986238,42,21978482.187348239
optimized_v4,16384,2048,5,2,26,52387894,42,21978482.187348239
optimized_v4,16384,2048,5,2,27,31279348,42,21978482.187348239
optimized_v4,16384,2048,5,2,28,36200265,42,21978482.187348239
optimized_v4,16384,2048,5,2,29,39743126,42,21978482.187348239
optimized_v4,16384,2048,5,2,30,36350860,42,21978482.187348239
optimized_v4,16384,256,5,3,25,4455372,42,2602783.1043406166
optimized_v4,16384,256,5,3,26,3951665,42,2602783.1043406166
optimized_v4,16384,256,5,3,27,4047919,42,2602783.1043406166
optimized_v4,16384,256,5,3,28,4119508,42,2602783.1043406166
optimized_v4,16384,256,5,3,29,5020474,42,2602783.1043406166
optimized_v4,16384,256,5,3,30,4107329,42,2602783.1043406166
baseline_v3,16384,1024,5,4,25,20188203,42,10771937.672788229
baseline_v3,16384,1024,5,4,26,20504028,42,10771937.672788229
baseline_v3,16384,1024,5,4,27,20517222,42,10771937.672788229
baseline_v3,16384,1024,5,4,28,20383913,42,10771937.672788229
baseline_v3,16384,1024,5,4,29,19966247,42,10771937.672788229
baseline_v3,16384,1024,5,4,30,20458185,42,10771937.672788229
optimized_v4,16384,64,5,5,25,1064804,42,660083.65979530779
optimized_v4,16384,64,5,5,26,1394844,42,660083.65979530779
optimized_v4,16384,64,5,5,27,958816,42,660083.65979530779
optimized_v4,16384,64,5,5,28,807456,42,660083.65979530779
optimized_v4,16384,64,5,5,29,784664,42,660083.65979530779
optimized_v4,16384,64,5,5,30,792858,42,660083.65979530779
baseline_v3,16384,32,5,6,25,673363,42,352736.71994500834
baseline_v3,16384,32,5,6,26,623486,42,352736.71994500834
baseline_v3,16384,32,5,6,27,581412,42,352736.71994500834
baseline_v3,16384,32,5,6,28,474678,42,352736.71994500834
baseline_v3,16384,32,5,6,29,587610,42,352736.71994500834
baseline_v3,16384,32,5,6,30,567484,42,352736.71994500834
optimized_v4,16384,32,5,7,25,485258,42,352736.71994500834
optimized_v4,16384,32,5,7,26,520875,42,352736.71994500834
optimized_v4,16384,32,5,7,27,499253,42,352736.71994500834
optimized_v4,16384,32,5,7,28,537248,42,352736.71994500834
